
2024/06/25 (07:24:13) | ===> btop++ v.1.3.2
2024/06/25 (07:24:13) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/25 (07:40:02) | ===> btop++ v.1.3.2
2024/06/25 (07:40:02) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/25 (07:40:10) | ===> btop++ v.1.3.2
2024/06/25 (07:40:10) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/25 (11:49:53) | ===> btop++ v.1.3.2
2024/06/25 (11:49:53) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/25 (15:12:45) | ===> btop++ v.1.3.2
2024/06/25 (15:12:45) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/25 (15:25:08) | ===> btop++ v.1.3.2
2024/06/25 (15:25:08) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/25 (16:04:54) | ===> btop++ v.1.3.2
2024/06/25 (16:04:54) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/25 (17:29:50) | ===> btop++ v.1.3.2
2024/06/25 (17:29:50) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/25 (18:23:48) | ===> btop++ v.1.3.2
2024/06/25 (18:23:48) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/25 (18:27:39) | ===> btop++ v.1.3.2
2024/06/25 (18:27:39) | WARNING: Failed to set locale UTF-8 continuing anyway.
2024/06/25 (18:27:47) | ERROR: Stall in Runner thread, restarting!

2024/06/25 (18:29:04) | ===> btop++ v.1.3.2
2024/06/25 (18:29:04) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/25 (18:33:32) | ===> btop++ v.1.3.2
2024/06/25 (18:33:32) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/25 (18:54:54) | ===> btop++ v.1.3.2
2024/06/25 (18:54:54) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/25 (19:07:19) | ===> btop++ v.1.3.2
2024/06/25 (19:07:19) | WARNING: Failed to set locale UTF-8 continuing anyway.
2024/06/25 (19:13:56) | ERROR: Stall in Runner thread, restarting!

2024/06/25 (19:15:34) | ===> btop++ v.1.3.2
2024/06/25 (19:15:34) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/25 (20:05:19) | ===> btop++ v.1.3.2
2024/06/25 (20:05:19) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/25 (20:05:32) | ===> btop++ v.1.3.2
2024/06/25 (20:05:32) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/25 (20:05:54) | ===> btop++ v.1.3.2
2024/06/25 (20:05:54) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/25 (20:20:59) | ===> btop++ v.1.3.2
2024/06/25 (20:20:59) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/25 (20:28:25) | ===> btop++ v.1.3.2
2024/06/25 (20:28:25) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/25 (22:16:00) | ===> btop++ v.1.3.2
2024/06/25 (22:16:00) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/25 (22:20:04) | ===> btop++ v.1.3.2
2024/06/25 (22:20:04) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/26 (20:43:15) | ===> btop++ v.1.3.2
2024/06/26 (20:43:15) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/26 (21:03:41) | ===> btop++ v.1.3.2
2024/06/26 (21:03:41) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/26 (21:04:12) | ===> btop++ v.1.3.2
2024/06/26 (21:04:12) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/26 (21:06:27) | ===> btop++ v.1.3.2
2024/06/26 (21:06:27) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/27 (05:57:48) | ===> btop++ v.1.3.2
2024/06/27 (05:57:48) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/29 (07:09:37) | ===> btop++ v.1.3.2
2024/06/29 (07:09:37) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/29 (07:37:47) | ===> btop++ v.1.3.2
2024/06/29 (07:37:47) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/29 (12:25:03) | ===> btop++ v.1.3.2
2024/06/29 (12:25:03) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/29 (19:07:23) | ===> btop++ v.1.3.2
2024/06/29 (19:07:23) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/19 (19:38:23) | ===> btop++ v.1.3.2
2024/07/19 (19:38:23) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/08/14 (06:50:11) | ===> btop++ v.1.3.2
2024/08/14 (06:50:11) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/08/25 (20:26:58) | ===> btop++ v.1.3.2
2024/08/25 (20:26:58) | WARNING: Failed to set locale UTF-8 continuing anyway.
